,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN
0,1,Aguascalientes,Ags.,1,AGUASCALIENTES
1,1,Aguascalientes,Ags.,2,ASIENTOS
2,1,Aguascalientes,Ags.,3,CALVILLO
3,1,Aguascalientes,Ags.,4,COSIO
4,1,Aguascalientes,Ags.,5,JESUS MARIA
5,1,Aguascalientes,Ags.,6,PABELLON DE ARTEAGA
6,1,Aguascalientes,Ags.,7,RINCON DE ROMOS
7,1,Aguascalientes,Ags.,8,SAN JOSE DE GRACIA
8,1,Aguascalientes,Ags.,9,TEPEZALA
9,1,Aguascalientes,Ags.,10,EL LLANO
10,1,Aguascalientes,Ags.,11,SAN FRANCISCO DE LOS ROMO
11,2,Baja California,BC,1,ENSENADA
12,2,Baja California,BC,2,MEXICALI
13,2,Baja California,BC,3,TECATE
14,2,Baja California,BC,4,TIJUANA
15,2,Baja California,BC,5,PLAYAS DE ROSARITO
16,2,Baja California,BC,6,SAN QUINTIN
17,2,Baja California,BC,7,SAN FELIPE
18,3,Baja California Sur,BCS,1,COMONDU
19,3,Baja California Sur,BCS,2,MULEGE
20,3,Baja California Sur,BCS,3,LA PAZ
21,3,Baja California Sur,BCS,8,LOS CABOS
22,3,Baja California Sur,BCS,9,LORETO
23,4,Campeche,Camp.,1,CALKINI
24,4,Campeche,Camp.,2,CAMPECHE
25,4,Campeche,Camp.,3,CARMEN
26,4,Campeche,Camp.,4,CHAMPOTON
27,4,Campeche,Camp.,5,HECELCHAKAN
28,4,Campeche,Camp.,6,HOPELCHEN
29,4,Campeche,Camp.,7,PALIZADA
30,4,Campeche,Camp.,8,TENABO
31,4,Campeche,Camp.,9,ESCARCEGA
32,4,Campeche,Camp.,10,CALAKMUL
33,4,Campeche,Camp.,11,CANDELARIA
34,4,Campeche,Camp.,12,SEYBAPLAYA
35,4,Campeche,Camp.,13,DZITBALCHE
36,5,Coahuila,Coah.,1,ABASOLO
37,5,Coahuila,Coah.,2,ACUÑA
38,5,Coahuila,Coah.,3,ALLENDE
39,5,Coahuila,Coah.,4,ARTEAGA
40,5,Coahuila,Coah.,5,CANDELA
41,5,Coahuila,Coah.,6,CASTAÑOS
42,5,Coahuila,Coah.,7,CUATRO CIENEGAS
43,5,Coahuila,Coah.,8,ESCOBEDO
44,5,Coahuila,Coah.,9,FRANCISCO I. MADERO
45,5,Coahuila,Coah.,10,FRONTERA
46,5,Coahuila,Coah.,11,GENERAL CEPEDA
47,5,Coahuila,Coah.,12,GUERRERO
48,5,Coahuila,Coah.,13,HIDALGO
49,5,Coahuila,Coah.,14,JIMENEZ
50,5,Coahuila,Coah.,15,JUAREZ
51,5,Coahuila,Coah.,16,LAMADRID
52,5,Coahuila,Coah.,17,MATAMOROS
53,5,Coahuila,Coah.,18,MONCLOVA
54,5,Coahuila,Coah.,19,MORELOS
55,5,Coahuila,Coah.,20,MUZQUIZ
56,5,Coahuila,Coah.,21,NADADORES
57,5,Coahuila,Coah.,22,NAVA
58,5,Coahuila,Coah.,23,OCAMPO
59,5,Coahuila,Coah.,24,PARRAS
60,5,Coahuila,Coah.,25,PIEDRAS NEGRAS
61,5,Coahuila,Coah.,26,PROGRESO
62,5,Coahuila,Coah.,27,RAMOS ARIZPE
63,5,Coahuila,Coah.,28,SABINAS
64,5,Coahuila,Coah.,29,SACRAMENTO
65,5,Coahuila,Coah.,30,SALTILLO
66,5,Coahuila,Coah.,31,SAN BUENAVENTURA
67,5,Coahuila,Coah.,32,SAN JUAN DE SABINAS
68,5,Coahuila,Coah.,33,SAN PEDRO
69,5,Coahuila,Coah.,34,SIERRA MOJADA
70,5,Coahuila,Coah.,35,TORREON
71,5,Coahuila,Coah.,36,VIESCA
72,5,Coahuila,Coah.,37,VILLA UNION
73,5,Coahuila,Coah.,38,ZARAGOZA
74,6,Colima,Col.,1,ARMERIA
75,6,Colima,Col.,2,COLIMA
76,6,Colima,Col.,3,COMALA
77,6,Colima,Col.,4,COQUIMATLAN
78,6,Colima,Col.,5,CUAUHTEMOC
79,6,Colima,Col.,6,IXTLAHUACAN
80,6,Colima,Col.,7,MANZANILLO
81,6,Colima,Col.,8,MINATITLAN
82,6,Colima,Col.,9,TECOMAN
83,6,Colima,Col.,10,VILLA DE ALVAREZ
84,7,Chiapas,Chis.,1,ACACOYAGUA
85,7,Chiapas,Chis.,2,ACALA
86,7,Chiapas,Chis.,3,ACAPETAHUA
87,7,Chiapas,Chis.,4,ALTAMIRANO
88,7,Chiapas,Chis.,5,AMATAN
89,7,Chiapas,Chis.,6,AMATENANGO DE LA FRONTERA
90,7,Chiapas,Chis.,7,AMATENANGO DEL VALLE
91,7,Chiapas,Chis.,8,ANGEL ALBINO CORZO
92,7,Chiapas,Chis.,9,ARRIAGA
93,7,Chiapas,Chis.,10,BEJUCAL DE OCAMPO
94,7,Chiapas,Chis.,11,BELLA VISTA
95,7,Chiapas,Chis.,12,BERRIOZABAL
96,7,Chiapas,Chis.,13,BOCHIL
97,7,Chiapas,Chis.,14,EL BOSQUE
98,7,Chiapas,Chis.,15,CACAHOATAN
99,7,Chiapas,Chis.,16,CATAZAJA
100,7,Chiapas,Chis.,17,CINTALAPA DE FIGUEROA
101,7,Chiapas,Chis.,18,COAPILLA
102,7,Chiapas,Chis.,19,COMITAN DE DOMINGUEZ
103,7,Chiapas,Chis.,20,LA CONCORDIA
104,7,Chiapas,Chis.,21,COPAINALA
105,7,Chiapas,Chis.,22,CHALCHIHUITAN
106,7,Chiapas,Chis.,23,CHAMULA
107,7,Chiapas,Chis.,24,CHANAL
108,7,Chiapas,Chis.,25,CHAPULTENANGO
109,7,Chiapas,Chis.,26,CHENALHO
110,7,Chiapas,Chis.,27,CHIAPA DE CORZO
111,7,Chiapas,Chis.,28,CHIAPILLA
112,7,Chiapas,Chis.,29,CHICOASEN
113,7,Chiapas,Chis.,30,CHICOMUSELO
114,7,Chiapas,Chis.,31,CHILON
115,7,Chiapas,Chis.,32,ESCUINTLA
116,7,Chiapas,Chis.,33,FRANCISCO LEON
117,7,Chiapas,Chis.,34,FRONTERA COMALAPA
118,7,Chiapas,Chis.,35,FRONTERA HIDALGO
119,7,Chiapas,Chis.,36,LA GRANDEZA
120,7,Chiapas,Chis.,37,HUEHUETAN
121,7,Chiapas,Chis.,38,HUIXTAN
122,7,Chiapas,Chis.,39,HUITIUPAN
123,7,Chiapas,Chis.,40,HUIXTLA
124,7,Chiapas,Chis.,41,LA INDEPENDENCIA
125,7,Chiapas,Chis.,42,IXHUATAN
126,7,Chiapas,Chis.,43,IXTACOMITAN
127,7,Chiapas,Chis.,44,IXTAPA
128,7,Chiapas,Chis.,45,IXTAPANGAJOYA
129,7,Chiapas,Chis.,46,JIQUIPILAS
130,7,Chiapas,Chis.,47,JITOTOL
131,7,Chiapas,Chis.,48,JUAREZ
132,7,Chiapas,Chis.,49,LARRAINZAR
133,7,Chiapas,Chis.,50,LA LIBERTAD
134,7,Chiapas,Chis.,51,MAPASTEPEC
135,7,Chiapas,Chis.,52,LAS MARGARITAS
136,7,Chiapas,Chis.,53,MAZAPA DE MADERO
137,7,Chiapas,Chis.,54,MAZATAN
138,7,Chiapas,Chis.,55,METAPA
139,7,Chiapas,Chis.,56,MITONTIC
140,7,Chiapas,Chis.,57,MOTOZINTLA
141,7,Chiapas,Chis.,58,NICOLAS RUIZ
142,7,Chiapas,Chis.,59,OCOSINGO
143,7,Chiapas,Chis.,60,OCOTEPEC
144,7,Chiapas,Chis.,61,OCOZOCOAUTLA DE ESPINOSA
145,7,Chiapas,Chis.,62,OSTUACAN
146,7,Chiapas,Chis.,63,OSUMACINTA
147,7,Chiapas,Chis.,64,OXCHUC
148,7,Chiapas,Chis.,65,PALENQUE
149,7,Chiapas,Chis.,66,PANTELHO
150,7,Chiapas,Chis.,67,PANTEPEC
151,7,Chiapas,Chis.,68,PICHUCALCO
152,7,Chiapas,Chis.,69,PIJIJIAPAN
153,7,Chiapas,Chis.,70,EL PORVENIR
154,7,Chiapas,Chis.,71,VILLA COMALTITLAN
155,7,Chiapas,Chis.,72,PUEBLO NUEVO SOLISTAHUACAN
156,7,Chiapas,Chis.,73,RAYON
157,7,Chiapas,Chis.,74,REFORMA
158,7,Chiapas,Chis.,75,LAS ROSAS
159,7,Chiapas,Chis.,76,SABANILLA
160,7,Chiapas,Chis.,77,SALTO DE AGUA
161,7,Chiapas,Chis.,78,SAN CRISTOBAL DE LAS CASAS
162,7,Chiapas,Chis.,79,SAN FERNANDO
163,7,Chiapas,Chis.,80,SILTEPEC
164,7,Chiapas,Chis.,81,SIMOJOVEL
165,7,Chiapas,Chis.,82,SITALA
